Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
194,2018-11-25,39.0,37.0,0,2,Molineux Stadium,Wolves,Huddersfield,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/37.png
187,2018-11-26,44.0,34.0,1,2,Turf Moor,Burnley,Newcastle,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/34.png
196,2018-11-30,43.0,39.0,2,1,Cardiff City Stadium,Cardiff,Wolves,https://media.api-sports.io/football/teams/43.png,https://media.api-sports.io/football/teams/39.png
198,2018-12-01,52.0,44.0,2,0,Selhurst Park,Crystal Palace,Burnley,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/44.png
199,2018-12-01,37.0,51.0,1,2,John Smith's Stadium,Huddersfield,Brighton,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/51.png
200,2018-12-01,46.0,38.0,2,0,King Power Stadium,Leicester,Watford,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/38.png
202,2018-12-01,50.0,35.0,3,1,Etihad Stadium,Manchester City,Bournemouth,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/35.png
203,2018-12-01,34.0,48.0,0,3,St James' Park,Newcastle,West Ham,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/48.png
204,2018-12-01,41.0,33.0,2,2,St. Mary's Stadium,Southampton,Manchester United,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/33.png
197,2018-12-02,49.0,36.0,2,0,Stamford Bridge,Chelsea,Fulham,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/36.png
195,2018-12-02,42.0,47.0,4,2,Emirates Stadium,Arsenal,Tottenham,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/47.png
201,2018-12-02,40.0,45.0,1,0,Anfield,Liverpool,Everton,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/45.png
205,2018-12-04,35.0,37.0,2,1,Vitality Stadium,Bournemouth,Huddersfield,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/37.png
206,2018-12-04,51.0,52.0,3,1,American Express Community Stadium,Brighton,Crystal Palace,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/52.png
210,2018-12-04,48.0,43.0,3,1,London Stadium,West Ham,Cardiff,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/43.png
